Unique_No,Marca temporal,What is your gender?,What is your age? ,What is your height?,What_is_your_ape_index,How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How_many_years_have_you_been_climbing,Is/was any of your parents a climber?,Why do you climb? ,On_average_how_many_days_do_you_climb_in_a_week,How many of those are indoors?,How_many_of_those_do_you_consider_training_sessions?,"In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What_is_your_hardest_indoor_onsight/flash_boulder_grade,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,flash_confidence,send_confidence,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_flash_that? ,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_send_that? ,What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,How_do_you_project?,
36,06/02/2020 01:38,Female,51,157,-1,59,Work fulltime,North America,United States,Around twice a year,Trip that might have some climbing,Indoor climber,Sports climber,13,No,"The places it takes you, For the challenge",3,3,1,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V4,V4,V4,V4,"Climb an easy route, meant as a warmup",8,5.12b / 7b,5.12c / 7b+,5.11d / 7a,5.12a / 7a+,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I do not project,
39,06/02/2020 04:20,Male,24,188,10,74,Study and work,Oceania,Australia,Around once a year,Trip that might have some climbing,Indoor climber,Boulderer,2,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, For the challenge",5,5,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Power endurance, Route/problem-specific sequences, Flexibility, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V7,V8,V1,V2,V6,V7,V6,V7,Stretch and warmup (before climbing),20,5.11d / 7a,5.12b / 7b,5.11d / 7a,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,Random attempt,I do not project,
42,06/02/2020 05:13,Male,26,179,6,73,Work fulltime,Europe,England,More than once per month,Trip that might have some climbing,Indoor climber,Boulderer,6,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",4,4,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,Stretch and warmup (before climbing),V6,V8,V6,V7,V5,V5,V5,V5,Stretch and warmup (before climbing),9,5.11d / 7a,5.12b / 7b,5.11b / 6c,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,3rd attempt of the day,I do not project,
49,06/02/2020 09:57,Female,27,157,0,51.5,Work fulltime,North America,Mexico,Never,Completely a climbing trip,Both rather equally,Both rather equally,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,1,Follow a training program from a book or online course,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V2,V4,V0,V0,V2,V1,V2,V1,Stretch and warmup (before climbing),3,5.11d / 7a,5.10c / 6b,5.10d / 6b+,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,3rd attempt of the day,I do not project,
51,06/02/2020 10:24,Female,25,164,0,52,Study and work,Oceania,Australia,More than once per month,Trip that might have some climbing,Indoor climber,Sports climber,6,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,2,2,I just climb more,1 to 2 hours,"Bouldering area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",No,Jump straight into the hard stuff,V0,V1,V0,V0,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",5,5.9 / 6a,5.10c / 6b,5.10a / 6a+,5.10b / 6a+,Top-rope it first (sports),Usually 1 one attempt per day,2nd attempt of the day,I do not project,
52,06/02/2020 10:30,Male,45,179,2,74,Work parttime,North America,Mexico,Around thrice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,23,No,To live,3,0,0,I just climb more,I do not train,,I do not indoor climb,"Core strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V3,V0,V3,V0,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",5,5.12a / 7a+,5.12c / 7b+,5.11c / 6c+,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I do not project,
59,06/02/2020 13:14,Male,26,193,0,75,Work fulltime,Oceania,Australia ,Around once a year,Trip that might have some climbing,Outdoor climber,Both rather equally,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V5,V2,V4,V1,V2,V1,V2,"Climb an easy route, meant as a warmup",6,5.10b / 6a+,5.10b / 6a+,5.8 / Fr(5) or lower,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,1st attempt of the day,I do not project,
65,06/02/2020 15:49,Female,20,163,0,52,Study and work,Oceania,Australia,Never,Trip that might have some climbing,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, For the challenge",1,1,1,I just climb more,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Explosive power",Normal fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V5,V6,V3,V5,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",10,5.10d / 6b+,5.11d / 7a,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
68,06/02/2020 17:07,Male,27,188,0,72,Neither,Europe,Netherlands,Around once per month,Mainly climbing trip but something else as well,Outdoor climber,Both rather equally,4,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",1,1,0,I just climb more,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Vegetarian,No,"Climb easy problems, meant as a warmup",V3,V4,V2,V3,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",10,5.8 / Fr(5) or lower,5.10b / 6a+,5.8 / Fr(5) or lower,5.9 / 6a,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I do not project,
71,06/02/2020 19:02,Male,20,183,0,63.5,Study,North America,USA,Around every 2 months,Trip that might have some climbing,Both rather equally,Sports climber,1.5,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V5,V6,V0,V0,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",5,5.10c / 6b,5.10c / 6b,5.9 / 6a,5.10a / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I do not project,
74,07/02/2020 01:24,Male,28,170,0,65,Work fulltime,Center or South America,Mexico,Around once a year,Trip that might have some climbing,Indoor climber,Both rather equally,6,No,"Fun of the activity in itself, Competition, The places it takes you, For the challenge",2,2,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V6,V7,V0,V0,V4,V5,V4,V5,"Climb an easy route, meant as a warmup",4,5.11c / 6c+,5.12a / 7a+,5.11b / 6c,5.12d / 7c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
75,07/02/2020 02:04,Female,29,158,0,54.7,Study and work,North America,México ,Around twice a year,Completely a climbing trip,Outdoor climber,Boulderer,1.5,No,"Fun of the activity in itself, Health, The places it takes you",1,0,1,I just climb more,1 to 2 hours,,I do not indoor climb,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Flexibility",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V1,V2,V1,V2,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",1,5.10a / 6a+,5.10a / 6a+,5.10a / 6a+,5.10d / 6b+,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I do not project,
78,07/02/2020 05:33,Female,22,153,0,49,Study,North America,Mexico ,Around twice a year,Completely non-climbing trip,Indoor climber,Sports climber,2,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge, Overcoming fears ",2,2,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Lead climbing area, Top rope area (without autobelay)",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility","Very tight, borderline painful, fit","No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V2,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",3,5.10b / 6a+,5.11b / 6c,5.10b / 6a+,5.10d / 6b+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I do not project,
85,07/02/2020 08:04,Female,45,170,8,65,Work fulltime,Oceania,Australia,Around thrice a year,Trip that might have some climbing,Outdoor climber,Sports climber,31,No,For the challenge,2,1,1,I just climb more,2 to 3 hours,Top rope area (without autobelay),I indoor climb to improve my outdoor climbing,"Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V4,V5,V5,V5,V4,V4,V4,V4,"Climb an easy route, meant as a warmup",10,5.11a / 6b+,5.12b / 7b,5.9 / 6a,5.11b / 6c,Top-rope it first (sports),Usually 2 attempts per day,Random attempt,I do not project,
91,07/02/2020 10:22,Male,42,183,0,83,Work fulltime,Oceania,Australia ,Never,Completely non-climbing trip,Indoor climber,Boulderer,1,No,Fun of the activity in itself,1,1,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,Vegan,Yes,Stretch and warmup (before climbing),V0,V0,V0,V0,V0,V0,V0,V0,Stretch and warmup (before climbing),0,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,Random attempt,I do not project,
93,07/02/2020 11:16,Male,24,208,-6,108,Work fulltime,Oceania,Australia,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,4,No,"The places it takes you, For the challenge",2,1,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Finger strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V3,V5,V0,V3,V1,V1,V1,V1,"Climb an easy route, meant as a warmup",4,5.9 / 6a,5.11d / 7a,5.9 / 6a,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I do not project,
95,07/02/2020 12:24,Male,30,178,0,60,Work fulltime,Asia,Hong Kong,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, Health, For the social part of climbing",2,1,0,I do not train,I do not train,Bouldering area,I indoor climb to improve my outdoor climbing,"Core strength, Route/problem-specific sequences, Trying more/different routes/problems, Cardio, Flexibility",Normal fit,"No, I eat anything",Yes,Jump straight into the hard stuff,V2,V3,V1,V2,V3,V2,V3,V2,"Climb an easy route, meant as a warmup",4,5.10b / 6a+,5.11b / 6c,5.10c / 6b,5.11c / 6c+,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I do not project,
97,07/02/2020 12:31,Male,20,170,0,54,Study,North America,Mexico,More than once per month,Completely non-climbing trip,Indoor climber,Both rather equally,2.5,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",1,1,0,I just climb more,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb because i like indoor climbing,"Core strength, Power endurance, Route/problem-specific sequences, Cardio, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V4,V5,V3,V3,V4,V3,V4,V3,Stretch and warmup (before climbing),7,5.10c / 6b,5.10d / 6b+,5.10d / 6b+,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project,
98,07/02/2020 12:32,Male,35,175,0,55,Neither,Oceania,Oceania,Around once per month,Trip that might have some climbing,Outdoor climber,Sports climber,6,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",1,1,1,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Endurance, Trying more/different routes/problems","""Comfy fit""",Vegetarian,Yes,"Climb easy problems, meant as a warmup",V4,V5,V3,V3,V2,V2,V2,V2,"Climb an easy route, meant as a warmup",10,5.11b / 6c,5.11b / 6c,5.10c / 6b,5.11b / 6c,Climb it while resting on every other bolt to explore the moves (sports),Usually more than 3 attempts per day,1st attempt of the day,I do not project,
103,07/02/2020 15:51,Male,17,184,0,72,Study and work,Oceania,Australia ,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,1,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you",2,1,0,I do not train,I do not train,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Explosive power",Tight fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V1,V3,V0,V1,V0,V2,V0,V2,"Climb an easy route, meant as a warmup",3,5.9 / 6a,5.10c / 6b,5.10a / 6a+,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,2nd attempt of the day,I do not project,
106,07/02/2020 18:05,Male,45,177,0,71,Work fulltime,Europe,Switzerland,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,15,No,Fun of the activity in itself,1,1,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Top rope area (with autobelay)",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V3,V0,V2,V0,V3,V0,V3,V0,Stretch and warmup (before climbing),4,5.11b / 6c,5.11c / 6c+,5.10c / 6b,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,1st attempt of the day,I do not project,
108,07/02/2020 18:24,Male,23,173,0,61,Study,Europe,Switzerland,Around every 2 months,Mainly climbing trip but something else as well,Indoor climber,Sports climber,1,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V3,V5,V3,V4,V2,V4,V2,V4,Stretch and warmup (before climbing),6,5.11a / 6b+,5.11c / 6c+,5.10c / 6b,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I do not project,
